discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
overwatch tutoriial,Burchase,testEmail,US,https://www.youtube.com/channel/UCAA5skZ7_jAcVeVvBygEoUQ/about,,,no notes,0,90,2018-05-07 14:46:13.940821,0.0,UCAA5skZ7_jAcVeVvBygEoUQ
overwatch tutoriial,BRKsEDU,testEmail,BR,https://www.youtube.com/channel/UCWKtHaeXVzUscYGcm0hEunw/about,322906.4285714286,0.13069841108326385,no notes,0,6743981,2018-05-07 14:46:15.506717,7.0,UCWKtHaeXVzUscYGcm0hEunw
overwatch study,Makin' Stuff Look Good,testEmail,CA,https://www.youtube.com/channel/UCEklP9iLcpExB8vp_fWQseg/about,38533.55,0.03502834975408875,- art channel,0,36477,2018-05-07 14:46:21.274416,22.0,UCEklP9iLcpExB8vp_fWQseg
overwatch study,Overwatch League,testEmail,country not detected,https://www.youtube.com/channel/UCiAInBL9kUzz1XRxk66v-gw/about,11129.833333333334,0.03820487873190591,no notes,0,93972,2018-05-07 14:46:24.891723,25.0,UCiAInBL9kUzz1XRxk66v-gw
overwatch study,Extra Credits,testEmail,US,https://www.youtube.com/channel/UCCODtTcd5M1JavPCOr_Uydg/about,241355.53846153847,0.0454626677995841,no notes,1,1436073,2018-05-07 14:46:27.021840,13.0,UCCODtTcd5M1JavPCOr_Uydg
overwatch study,Warcraft Music and Gaming,testEmail,US,https://www.youtube.com/channel/UC7f0ajWNrF1RMRN4EPJj13w/about,865.304347826087,0.026987732312574033,no notes,0,17127,2018-05-07 14:46:32.057535,25.0,UC7f0ajWNrF1RMRN4EPJj13w
overwatch study,T B Skyen,testEmail,DK,https://www.youtube.com/channel/UCH9Upwx0Bvoy7Tkj4JGaKnw/about,13741.5,0.07582236607926798,no notes,0,30837,2018-05-07 14:46:35.960085,25.0,UCH9Upwx0Bvoy7Tkj4JGaKnw
overwatch,PlayOverwatch,testEmail,country not detected,https://www.youtube.com/channel/UClOf1XXinvZsy4wKPAkro2A/about,892623.8260869565,0.039280979641367106,no notes,1,2279798,2018-05-07 14:46:40.809774,25.0,UClOf1XXinvZsy4wKPAkro2A
overwatch,Dabacabb,testEmail,US,https://www.youtube.com/channel/UCSCBIF1VxeqR-k3XgGH41uA/about,136868.47826086957,0.02518510576905259,- gaming clips,0,395255,2018-05-07 14:46:44.733711,25.0,UCSCBIF1VxeqR-k3XgGH41uA
overwatch,FreshNuts,testEmail,US,https://www.youtube.com/channel/UC3lfyypCC8Jyhao9TivsOYA/about,104451.29166666667,0.023725058866544357,- gaming clips,0,64453,2018-05-07 14:46:48.538116,25.0,UC3lfyypCC8Jyhao9TivsOYA
